slug,card_name,id,num_copies,url_ering,valid_ering,url_efnet,scraped
3-hump-lacooda,3-Hump Lacooda,86988864,3,https://edisonrul.ing/cards/0-9/3-hump-lacooda.html,True,https://edisonformat.net/card?name=3-Hump%20Lacooda,True
4-starred-ladybug-of-doom,4-Starred Ladybug of Doom,83994646,3,https://edisonrul.ing/cards/0-9/4-starred-ladybug-of-doom.html,False,https://edisonformat.net/card?name=4-Starred%20Ladybug%20of%20Doom,True
7,7,67048711,3,https://edisonrul.ing/cards/0-9/7.html,True,https://edisonformat.net/card?name=7,False
7-colored-fish,7 Colored Fish,23771716,3,https://edisonrul.ing/cards/0-9/7-colored-fish.html,False,https://edisonformat.net/card?name=7%20Colored%20Fish,True
7-completed,7 Completed,86198326,3,https://edisonrul.ing/cards/0-9/7-completed.html,False,https://edisonformat.net/card?name=7%20Completed,True
8-claws-scorpion,8-Claws Scorpion,14261867,3,https://edisonrul.ing/cards/0-9/8-claws-scorpion.html,True,https://edisonformat.net/card?name=8-Claws%20Scorpion,True
a-cat-of-ill-omen,A Cat of Ill Omen,24140059,3,https://edisonrul.ing/cards/a/a-cat-of-ill-omen.html,True,https://edisonformat.net/card?name=A%20Cat%20of%20Ill%20Omen,True
a-cell-breeding-device,"""A"" Cell Breeding Device",34541863,3,https://edisonrul.ing/cards/a/a-cell-breeding-device.html,True,"https://edisonformat.net/card?name=""A""%20Cell%20Breeding%20Device",True
a-cell-incubator,"""A"" Cell Incubator",64163367,3,https://edisonrul.ing/cards/a/a-cell-incubator.html,True,"https://edisonformat.net/card?name=""A""%20Cell%20Incubator",True
a-cell-scatter-burst,"""A"" Cell Scatter Burst",73262676,3,https://edisonrul.ing/cards/a/a-cell-scatter-burst.html,True,"https://edisonformat.net/card?name=""A""%20Cell%20Scatter%20Burst",True
a-deal-with-dark-ruler,A Deal with Dark Ruler,6850209,3,https://edisonrul.ing/cards/a/a-deal-with-dark-ruler.html,True,https://edisonformat.net/card?name=A%20Deal%20with%20Dark%20Ruler,True
a-feather-of-the-phoenix,A Feather of the Phoenix,49140998,3,https://edisonrul.ing/cards/a/a-feather-of-the-phoenix.html,True,https://edisonformat.net/card?name=A%20Feather%20of%20the%20Phoenix,True
a-feint-plan,A Feint Plan,68170903,3,https://edisonrul.ing/cards/a/a-feint-plan.html,True,https://edisonformat.net/card?name=A%20Feint%20Plan,True
a-hero-emerges,A Hero Emerges,21597117,3,https://edisonrul.ing/cards/a/a-hero-emerges.html,True,https://edisonformat.net/card?name=A%20Hero%20Emerges,True
a-legendary-ocean,A Legendary Ocean,295517,3,https://edisonrul.ing/cards/a/a-legendary-ocean.html,True,https://edisonformat.net/card?name=A%20Legendary%20Ocean,True
a-major-upset,A Major Upset,32207100,3,https://edisonrul.ing/cards/a/a-major-upset.html,False,https://edisonformat.net/card?name=A%20Major%20Upset,True
a-man-with-wdjat,A Man with Wdjat,51351302,3,https://edisonrul.ing/cards/a/a-man-with-wdjat.html,True,https://edisonformat.net/card?name=A%20Man%20with%20Wdjat,True
a-rival-appears,A Rival Appears!,5728014,3,https://edisonrul.ing/cards/a/a-rival-appears.html,True,https://edisonformat.net/card?name=A%20Rival%20Appears!,True
a-team-trap-disposal-unit,A-Team: Trap Disposal Unit,13026402,3,https://edisonrul.ing/cards/a/a-team-trap-disposal-unit.html,True,https://edisonformat.net/card?name=A-Team:%20Trap%20Disposal%20Unit,True
